bicycle	highway	name	note	surface	visible_name	boat	canoe	motorboat	waterway	canoe:conditional	wikidata	bridge	layer	ship	width	area	lit	wikipedia	tunnel	name:de	name:ru	step_count	covered	alt_name	foot	incline	loc_name	lanes	maxspeed	oneway	wheelchair	railway	man_made	nat_ref	start_date	source	source:maxspeed	construction	svg:bezier	building	ferry	public_transport	CEMT	access	old_name	name:it	canoa:conditional	fixme	name:en	name:es	name:fr	bridge:railing	bridge:structure	importance	name:ja	name:pl	name:pt	sidewalk	architect	end_date	length	name:uk	horse	official_name	material	tourism	place	source:date	footway	name:ar	name:be	name:bg	name:he	name:ko	name:tr	name:vec	name:zh	maxwidth	handrail	handrail:left	handrail:right	est_width	arcade:right	electrified	arcade:left	natural	height	psv	description	motor_vehicle	segregated	smoothness	step	ramp	ramp:bicycle	ramp:stroller	ramp:wheelchair	name_1	noexit
no	pedestrian	Calle Castelli																																																																																																	
no	pedestrian	Fondamenta Van Axel																						Fondamenta de le Erbe																																																																											
	steps	Ponte del Cristo	PARROCCHIA DI S. MARIA FORMOSA									yes	1									6				up																																																																									
no	pedestrian	Calle Sernagiotto																																																																																																	
no	pedestrian	Calle del'Aseo		paving_stones	CALLE DEL' ASEO																			Calle de l'Aseo																																																																											
no	pedestrian	Calle Civran			CALLE GUSTAVO MODENA DEL CIVRAN																																								Calle Gustavo Modena																																																						
no	pedestrian	Corte Civran			CORTE CIVRAN											yes																																																																																			
no	pedestrian	Sotoportego Civran																	building_passage																										Calle Gustavo Modena																																																						
no	pedestrian	Calle de la Stua																																																																																																	
no	pedestrian	Corte del Remer			CORTE DEL REMER											yes																																																																																			
no	pedestrian	Sotoportego del Remer			SOTOPORTEGO DEL REMER														yes				yes																																																																												
no	pedestrian	Calle Morosini																																																																																																	
no	pedestrian	Calle del Cagnoletto																																																																																																	
no	pedestrian	Corte Morosina														yes																																																																																			
no	pedestrian	Corte de Ca' Amadi														yes																																																																																			
no	pedestrian	Sotoportego de Ca' Amadi																	yes				yes																																																																												
	footway	Ponte de l'Olio			PONTE DE L'OLIO							yes	1																																																																																						
no	pedestrian	Salizada San Giovanni Grisostomo		paving_stones													yes																																																																																		
no	pedestrian	Calle de l'Ufizio de la seda																																																																																																	
no	pedestrian	Corte Prima del Milion	senza questi pezzi il routing non viene supportato																					Corte del Forno																																																																											
no	pedestrian	Calle del Teatro			CALLE DEL TEATRO O DE L'OPERA																			Calle de l'Opera																																																																											
no	pedestrian	Corte Prima del Milion														yes								Corte del Forno																																																																											
no	pedestrian	Corte del Teatro Malibran														yes																																																																																			
no	pedestrian	Corte Prima del Milion																						Corte del Forno																																																																											
no	pedestrian	Corte Seconda del Milion														yes																																																																																			
no	pedestrian	Sotoportego del Milion			SOTOPORTEGO DEL MILION														yes				yes																																																																												
no	pedestrian	Sotoportego del Teatro			SOTOPORTEGO DEL TEATRO														yes				yes																																																																												
no	pedestrian	Calle Larga Giacinto Gallina			CALLE LARGA GIACINTO GALLINA																																																																																														
no	pedestrian	Sotoportego del Magazen			SOTOPORTEGO DEL MAGAZEN														yes				yes																																																																												
no	footway	Ponte de la Panada			PONTE DE LA PANADA							yes	1																																																																																						
no	pedestrian	Rio Terà dei Biri o del Parsemolo			RIO TERA DEI BIRI O DEL PARSEMOLO																			Rio Terà del Parsemolo			Rio Terà dei Biri																																																																								
no	pedestrian	Calle Bandi			CALLE BANDI																																																																																														
no	pedestrian	Calle Batagia			CALLE BATAGIA																																																																																														
no	pedestrian	Corte Batagia			CORTE BATAGIA											yes																																																																																			
no	pedestrian	Ramo Batagia			RAMO BATAGIA																			Ramo Battagia																																																																											
no	pedestrian	Ramo secondo Batagia			RAMO SECONDO BATAGIA																																																																																														
no	pedestrian	Calle Widmann			CALLE WIDMANN																																																																																														
no	pedestrian	Ramo primo Michiel			RAMO PRIMO MICHIEL																																																																																														
no	pedestrian	Ramo quarto Rio Terà			RAMO QUARTO RIO TERA'																																																																																														
no	pedestrian	Campiello Stella																																																																																																	
no	pedestrian	Sotoportego Widmann			SOTOPORTEGO WIDMANN														yes				yes																																																																												
no	pedestrian	Fondamenta Widmann																																																																																																	
no	pedestrian	Calle Varisco			CALLE VARISCO																																																																																														
no	pedestrian	Ramo Varisco			RAMO VARISCO																																																																																														
no	footway	Calle Varisco			CALLE VARISCO										0.8																																																																																				
no	footway	Calle Varisco			CALLE VARISCO										0.8				yes				yes																																																																												
no	pedestrian	Sotoportego Stella																	yes				yes																																																																												
no	pedestrian	Calle Stella			CALLE STELLA																																																																																														
no	footway	Calle Stella			CALLE STELLA										0.97																																																																																				
no	pedestrian	Calle del Pestrin			CALLE DEL PESTRIN																																																																																														
no	pedestrian	Campiello Stella			CAMPIELLO STELLA											yes																																																																																			
	steps	Ponte Giustinian			PONTE GIUSTINIAN							yes	1									15				down																																																																									
no	pedestrian	Calle Morandi			CALLE MORANDI																																																																																														
no	pedestrian	Calle de la Madonna			CALLE DE LE MADONNA														yes				yes																																																																												
no	pedestrian	Sotoportego de la Madonna																	yes				yes	Sotoportego de la Madona																																																																											
no	pedestrian	Calle de la Madonna			CALLE DE LE MADONNA																																																																																														
no	pedestrian	Calle de la Madonna			CALLE DE LE MADONNA																																																																																														
no	pedestrian	Ramo Morandi			RAMO MORANDI																																																																																														
no	pedestrian	Corte Contarina			CORTE CONTARINA											yes																																																																																			
no	pedestrian	Ramo del Mora			RAMO MORA																																																																																														
no	pedestrian	Campiello de la Madonna			CAMPIELLO DE LE MADONNA											yes								Campiello de la Madona																																																																											
no	pedestrian	Ramo Contarina			RAMO CONTARINA																																																																																														
no	pedestrian	Ramo del Volto			RAMO DEL VOLTO																																																																																														
no	pedestrian	Corte del Pozeto d'Oro			CORTE DEL POZETO D'ORO											yes																																																																																			
no	pedestrian	Calle del Fumo			CALLE DEL FUMO																																																																																														
no	pedestrian	Calle e Ramo Propia			CALLE E RAMO PROPIA																			Ramo Propria																																																																											
no	pedestrian	Ramo del Figo			RAMO DEL FIGO																																																																																														
no	pedestrian	Campiello de la Cason			CAMPIELLO DE LA CASON											yes																														Campiello della Cason																																																					
	steps	Ponte dei Sartori			PONTE DEI SARTORI							yes	1																																																																																						
	steps	Ponte dei Gesuiti			PONTE DEI GESUITI							yes	1																																																																																						
	steps	Ponte de l'Acquavita			PONTE DE L'ACQUAVITA							yes	1									4				up																																																																									
no	pedestrian	Calle de la Malvasia			CALLE DE LA MALVASIA																																																																																														
no	pedestrian	Corte e Ramo dei Catecumeni			SOTOPORTEGO DEI CATECUMENI														yes																																																																																
no	pedestrian	Corte e Ramo dei Catecumeni			SOTOPORTEGO DEI CATECUMENI																																																																																														
no	pedestrian	Corte e Ramo dei Catecumeni			SOTOPORTEGO DEI CATECUMENI														yes																																																																																
no	pedestrian	Sotoportego del Tragheto			SOTOPORTEGO DEL TRAGHETTO														yes																																																																																
no	pedestrian	Calle Muazzo			CALLE MUAZZO																																																																																														
no	pedestrian	Campo Santi Apostoli	senza questi pezzi il routing non viene supportato																																																																																																
no	pedestrian	Calle dei Preti			CALLE DEI PRETI																																																																																														
no	pedestrian	Calle del Manganer			CALLE DEL MANGANER																																																																																														
no	pedestrian	Calle larga dei Proverbi			CALLE LARGA DEI PROVERBI																																																																																														
no	pedestrian	Calle Valmarana			CALLE VALMARANA																																																																																														
no	pedestrian	Calle del Traghetto			CALLE DEL TRAGHETO																																																																																														
no	pedestrian	Calle del Volto			CALLE DEL VOLTO																																																																																														
no	pedestrian	Campiello Valmarana			CAMPIELLO VALMARANA											yes																																																																																			
